"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Weak.foot"
"L. Robertone",21,72,82,2,"Attacker",5e+06,9000,3,342,372,375,327,287,4
"A. Pešić",26,72,73,NA,"Attacker",3700000,8000,3,340,297,306,364,310,4
"J. Murphy",23,72,77,3,"Attacker",4200000,30000,3,293,321,389,299,254,4
"N. Karelis",26,72,73,0,"Attacker",3700000,1000,3,333,317,380,351,300,2
"Rober Ibáñez",25,72,73,NA,"Attacker",3700000,8000,3,322,356,400,302,308,4
"E. Derdiyok",30,72,72,0,"Attacker",3e+06,40000,3,364,323,244,364,284,3
"J. Murphy",23,72,76,NA,"Attacker",4100000,20000,3,293,345,376,317,256,3
"J. Pohjanpalo",23,72,77,3,"Attacker",4200000,30000,3,328,282,351,339,264,3
"H. Aleesami",26,72,72,0,"Attacker",2600000,4000,3,299,342,373,343,323,3
"A. Canelo",26,72,73,4,"Attacker",3700000,20000,3,321,296,363,352,277,4
"Wilson Manafá",23,72,77,4,"Attacker",3500000,8000,4,318,321,405,305,313,4
"Bruno Tabata",21,72,80,4,"Attacker",4600000,7000,4,314,355,388,313,313,3
"Léo Bonatini",24,72,73,NA,"Attacker",3800000,30000,3,340,339,341,359,312,4
"Jon Bautista",22,72,78,4,"Attacker",4300000,20000,3,336,290,319,327,251,3
"J. Lucero",26,72,72,0,"Attacker",3400000,10000,3,336,300,388,339,289,3
"A. Jóhannsson",27,72,72,3,"Attacker",3300000,6000,3,323,323,337,336,294,4
"M. Moreno",21,72,81,NA,"Attacker",4800000,10000,3,276,299,412,318,245,3
"R. Ripart",25,72,73,4,"Attacker",3700000,15000,3,342,327,351,356,315,3
"Y. Seleznyov",32,72,72,2,"Attacker",2500000,9000,3,345,283,286,373,319,3
"R. Nelson",18,72,85,NA,"Attacker",5500000,15000,4,280,340,403,259,260,4
"M. Lestienne",26,72,72,2,"Attacker",3300000,10000,3,321,357,388,322,307,4
"G. Vural",30,72,72,2,"Attacker",2200000,10000,3,339,358,391,357,321,3
"S. Armenteros",28,72,72,1,"Attacker",3200000,6000,3,344,321,355,356,274,3
"M. Pérez",27,72,72,2,"Attacker",3300000,4000,3,335,325,357,363,289,3
"Isaac Cuenca   B",27,72,72,3,"Attacker",3300000,5000,3,288,361,378,302,266,5
"M. Frey",23,72,77,3,"Attacker",4200000,40000,3,308,287,302,384,310,3
"Mateus",34,72,72,1,"Attacker",1600000,7000,3,336,346,374,340,312,3
"Romarinho",27,72,72,1,"Attacker",3300000,30000,4,331,353,412,310,264,3
"B. Srarfi",21,72,79,2,"Attacker",4400000,20000,4,333,343,362,307,266,3
"Júlio Tavares",29,72,72,2,"Attacker",3100000,10000,3,309,260,307,347,269,2
"L. Castro",29,72,72,4,"Attacker",3100000,1000,3,333,264,331,334,261,4
"Flavio Paixão",33,72,72,1,"Attacker",2e+06,8000,4,343,323,361,345,325,4
"S. Zoller",27,72,72,3,"Attacker",3300000,15000,3,349,321,373,326,275,3
"R. Noir",31,72,72,NA,"Attacker",2700000,10000,3,339,319,387,358,322,3
"Brandon Thomas",23,72,79,NA,"Attacker",4400000,8000,3,321,321,409,356,293,3
"Carlos",22,72,79,2,"Attacker",4400000,8000,3,316,305,370,314,261,3
"C. Jean",22,72,77,2,"Attacker",4200000,15000,3,338,333,409,300,276,3
"B. Assombalonga",25,72,75,2,"Attacker",4e+06,40000,3,329,293,358,361,303,3
"Enzo Merques",34,72,72,2,"Attacker",875000,15000,3,338,357,362,355,342,4
"Rômulo Calsede",30,72,72,2,"Attacker",3e+06,30000,3,328,311,346,362,286,3
"Juan Muñoz",22,72,77,1,"Attacker",4200000,8000,3,330,276,336,342,260,3
"Diego Farías",28,72,72,NA,"Attacker",3200000,10000,4,335,344,422,327,278,3
"G. Núñez",30,72,72,3,"Attacker",2900000,10000,3,299,350,353,369,298,3
"E. Berggreen",25,72,75,0,"Attacker",4e+06,20000,2,306,317,271,338,281,4
"G. Sunu",27,72,72,1,"Attacker",3300000,10000,3,338,326,350,335,309,3
"N. González",20,72,83,4,"Attacker",5500000,20000,4,316,306,382,325,285,3
"J. Bahebeck",25,72,75,1,"Attacker",4e+06,15000,3,353,349,355,342,299,3
"Z. Ferhat",25,72,73,0,"Attacker",3700000,7000,4,276,344,369,294,253,4
"F. Diedhiou",25,72,75,2,"Attacker",4e+06,30000,3,307,255,300,336,288,2
"M. Fares",22,72,80,NA,"Attacker",4600000,10000,3,316,327,383,335,326,3
"Susaeta",33,72,72,2,"Attacker",1900000,7000,3,329,382,329,334,330,3
"V. Hernández",29,72,72,2,"Attacker",3e+06,5000,4,299,299,416,331,265,3
"Marco Sangalli",26,72,72,0,"Attacker",3300000,9000,3,305,313,371,322,305,3
"T. Lawrence",24,72,75,2,"Attacker",3900000,30000,4,323,348,361,342,296,4
"Fernandinho Silva",32,72,72,0,"Attacker",2400000,8000,4,320,342,418,338,289,2
"S. Adegbenro",22,72,80,2,"Attacker",4600000,6000,4,312,324,427,353,285,4
"M. Britos",29,72,72,3,"Attacker",3100000,10000,3,338,335,401,374,311,3
"S. Koroki",31,72,72,2,"Attacker",2800000,10000,3,331,300,361,346,332,4
"Ivo Rodrigues",23,72,76,2,"Attacker",4100000,10000,4,318,340,385,348,299,4
"Anderson Lopes",24,72,76,1,"Attacker",4100000,4000,4,316,308,365,369,291,4
"M. Mittelstädt",21,72,82,4,"Attacker",5e+06,15000,3,319,325,373,307,283,3
"A. Bouzat",24,72,75,2,"Attacker",3900000,10000,3,315,309,391,330,330,3
"Angulo",34,72,72,1,"Attacker",1600000,6000,3,329,311,377,340,296,3
"M. Cafaro",21,72,81,3,"Attacker",4800000,10000,4,315,359,393,331,290,3
"C. Gytkjær",28,72,72,1,"Attacker",3200000,10000,3,324,302,352,360,312,4
"A. Cerri",22,72,80,4,"Attacker",4600000,20000,3,323,284,309,378,246,3
"O. Fernández",25,72,73,4,"Attacker",3700000,7000,3,313,329,389,303,279,3
"Heriberto Tavares",21,72,80,NA,"Attacker",4600000,5000,3,328,349,388,346,270,5
"Erik",23,72,76,1,"Attacker",4100000,6000,3,333,311,401,314,248,4
"Orlando Sá",30,72,72,2,"Attacker",3e+06,15000,3,328,279,307,354,309,3
"T. Ince",26,72,72,3,"Attacker",3300000,30000,4,296,357,392,317,278,3
"B. Trawally",23,72,78,3,"Attacker",4300000,20000,3,310,323,374,319,248,3
"Hwang Hee Chan",22,72,80,NA,"Attacker",4600000,10000,3,315,303,420,341,275,3
"S. Perica",22,72,77,NA,"Attacker",4200000,10000,3,316,260,307,344,281,2
"M. Rangel",27,72,72,NA,"Attacker",3300000,3000,3,339,304,301,374,289,3
"Jairinhazo",30,72,72,2,"Attacker",2900000,10000,4,320,365,390,236,297,4
"Pedro Sánchez",31,72,72,1,"Attacker",2700000,9000,3,298,359,379,368,281,3
"Salomão",29,72,72,0,"Attacker",3e+06,10000,3,322,338,367,324,315,4
"Jessé Ledeiro",30,72,72,2,"Attacker",2900000,20000,3,323,363,360,315,320,3
"T. Torun",28,72,72,NA,"Attacker",3100000,15000,3,322,351,371,335,261,5
"A. Chipciu",29,72,72,1,"Attacker",3e+06,1000,3,330,341,366,345,330,4
"E. Koulouris",22,72,78,NA,"Attacker",0,0,3,317,276,340,334,227,3
"C. Espinoza",23,72,76,NA,"Attacker",4100000,6000,3,316,332,380,339,273,4
"Léo Jabá",19,72,82,4,"Attacker",4900000,500,3,316,300,354,337,253,3
"S. van de Streek",25,72,74,2,"Attacker",3800000,15000,3,343,336,350,370,326,4
"Renato Santos",26,72,72,2,"Attacker",3300000,9000,4,319,350,374,298,289,3
"D. McGoldrick",30,72,72,2,"Attacker",3e+06,10000,3,341,348,355,348,299,3
"Y. Mokhtar",26,72,72,1,"Attacker",3300000,7000,3,321,369,381,295,280,2
"I. Mbenza",22,72,80,NA,"Attacker",4600000,30000,3,329,350,374,362,255,3
"J. Fernández",30,72,72,3,"Attacker",2900000,10000,3,310,341,412,368,336,3
"N. Dimitrov",30,72,72,NA,"Attacker",0,0,3,321,338,357,315,301,4
"M. Fofana",26,72,72,0,"Attacker",3300000,15000,4,313,335,414,325,228,3
"B. Kadrii",26,72,72,3,"Attacker",3400000,10000,3,319,323,396,366,309,3
"Aitor García",24,72,75,NA,"Attacker",3900000,8000,3,310,334,389,333,261,3
"A. Esswein",28,72,72,NA,"Attacker",3100000,20000,3,338,330,369,379,306,3
"Vako",25,72,73,0,"Attacker",3700000,7000,3,323,349,356,333,270,3
"D. Gonzo",22,72,78,NA,"Attacker",0,0,3,317,299,404,338,292,3
"M. Rosenberg",35,72,72,1,"Attacker",1400000,6000,3,349,338,332,377,344,3
"B. Hrgota",25,72,75,0,"Attacker",4e+06,20000,3,332,330,345,348,254,4
"A. Novikovas",27,72,72,0,"Attacker",3300000,9000,3,307,338,406,356,278,4
"F. Ricci",24,72,75,NA,"Attacker",3900000,5000,3,306,318,376,258,312,3
"M. Erdinç",31,72,72,NA,"Attacker",2800000,15000,3,340,322,352,369,325,3
"Ji Dong Won",27,72,72,0,"Attacker",3300000,20000,3,329,331,352,364,327,4
"D. Zabala",26,72,72,1,"Attacker",3300000,10000,3,347,338,354,367,257,3
"Álvaro Jiménez",23,72,78,NA,"Attacker",4300000,8000,3,327,333,365,329,294,3
"Simy",26,72,73,3,"Attacker",3700000,5000,2,321,231,295,322,287,3
"C. Akolo",23,72,77,2,"Attacker",4200000,20000,4,300,328,409,310,255,3
"J. Correa",25,72,74,4,"Attacker",3900000,15000,3,302,245,316,372,275,4
"Marc Cardona",22,72,79,NA,"Attacker",4400000,15000,3,321,307,360,327,244,3
"F. Ceravolo",31,72,72,1,"Attacker",2800000,30000,3,333,325,367,361,277,3
"L. Narsingh",27,72,72,0,"Attacker",3300000,20000,3,310,317,404,265,240,3
"A. Tello",21,72,81,2,"Attacker",4700000,4000,3,330,337,384,361,319,3
"Ö. Hurmacı",31,72,72,0,"Attacker",2700000,10000,3,345,374,363,376,302,4
"M. Gavranović",28,72,72,2,"Attacker",3200000,1000,3,316,302,384,345,321,4
"R. Gutiérrez",35,72,72,0,"Attacker",1400000,4000,3,308,300,314,354,326,3
"L. Rizzo",26,72,72,NA,"Attacker",3300000,4000,3,314,333,350,350,328,4
"M. Doumbia",23,72,75,3,"Attacker",3900000,10000,3,305,334,402,335,256,2
"Luís Leal",31,72,72,2,"Attacker",2800000,15000,3,333,324,363,354,304,3
"S. Sáez",33,72,72,0,"Attacker",2e+06,9000,3,310,277,341,323,279,3
"F. Sambueza",29,72,72,1,"Attacker",3e+06,4000,3,309,343,392,268,291,2
"D. Asprilla",29,72,72,1,"Attacker",3e+06,20000,4,319,359,353,353,285,4
"Paulao Junqueiras",30,72,72,2,"Attacker",3e+06,20000,3,320,273,215,332,284,4
"Y. Boli",24,72,75,1,"Attacker",4e+06,10000,3,327,298,359,369,296,3
"A. Matri",33,72,72,1,"Attacker",2e+06,40000,3,340,291,337,346,277,3
"R. Zozulya",28,72,72,2,"Attacker",3200000,8000,3,331,259,369,377,312,3
"Nilsito Vilela",30,72,72,2,"Attacker",3e+06,15000,3,323,336,383,324,269,5
"Perdigão",26,72,72,1,"Attacker",3300000,7000,4,317,323,357,322,278,3
"S. Longo",26,72,73,NA,"Attacker",3700000,4000,3,332,284,361,361,306,3
"Gabriel Xavier",24,72,72,1,"Attacker",3400000,6000,3,304,348,367,302,284,3
"L. Höler",23,72,75,3,"Attacker",4e+06,15000,3,318,262,345,363,284,3
"Rogerinho",31,72,72,0,"Attacker",2700000,20000,3,326,345,393,320,292,4
"M. Martins",31,72,72,NA,"Attacker",0,0,3,348,305,306,366,305,4
"A. Warda",24,72,75,NA,"Attacker",0,0,3,302,363,364,265,248,4
"R. Varga",28,72,72,NA,"Attacker",0,0,3,341,345,378,361,294,4
"J. Beausejour",34,72,72,1,"Attacker",875000,9000,3,315,353,389,360,344,2
"Carleto Costinha",26,72,72,2,"Attacker",3300000,20000,3,323,352,396,272,303,4
"T. Murg",23,72,76,3,"Attacker",4100000,10000,3,304,357,404,360,275,4
"Yu Hanchao",31,72,72,2,"Attacker",2700000,15000,3,322,314,379,325,317,4
"M. Seuntjens",26,72,73,1,"Attacker",3700000,10000,3,332,342,350,378,323,4
"R. Gómez",25,72,73,NA,"Attacker",3700000,9000,3,308,365,418,327,306,2
"D. Limnios",20,72,80,2,"Attacker",4600000,1000,3,309,331,380,315,275,3
"I. Santini",29,72,72,3,"Attacker",3100000,15000,3,335,272,225,375,342,4
"R. Quioto",26,72,72,3,"Attacker",3300000,7000,3,331,338,376,352,315,3
"Santi da Bruma",34,72,72,2,"Attacker",1600000,10000,3,366,363,433,326,299,5
"C. Santos",30,72,72,1,"Attacker",3e+06,9000,3,359,355,328,357,301,4
"R. Matos",25,72,73,NA,"Attacker",3700000,5000,3,323,335,375,367,282,3
"Thiago Alminxa",26,72,72,2,"Attacker",3400000,15000,3,331,343,367,323,271,4
"S. Polter",27,72,72,1,"Attacker",3300000,20000,2,322,259,328,373,288,3
"N. Mendez-Laing",26,72,72,2,"Attacker",3300000,30000,3,304,315,382,340,264,3
"M. Møller Dæhli",23,72,77,2,"Attacker",4200000,10000,3,263,347,391,267,235,3
"J. Rojas",25,72,73,0,"Attacker",3700000,9000,3,306,325,424,318,279,3
"Cristian Lodeira",26,72,72,2,"Attacker",3400000,10000,3,331,296,415,311,270,4
"A. Chatzigiovanis",21,72,79,1,"Attacker",4400000,1000,3,314,340,379,305,278,4
"Walter Silvieiro",26,72,72,2,"Attacker",3400000,15000,3,346,310,332,348,322,3
"A. Kravets",29,72,72,2,"Attacker",3100000,10000,3,329,279,293,344,306,3
"William",26,72,73,1,"Attacker",3700000,9000,3,330,319,338,365,299,4
"E. Pačinda",29,72,72,3,"Attacker",3e+06,1000,3,338,353,379,282,297,2
"J. Jones",26,72,72,4,"Attacker",3300000,7000,3,282,330,380,344,322,2
"D. Álvarez",23,72,75,4,"Attacker",3900000,9000,3,294,352,390,335,251,2
"David Ferreiro",30,72,72,2,"Attacker",2900000,15000,4,286,363,414,302,299,3
"A. Davies",17,72,87,4,"Attacker",6e+06,20000,4,296,308,410,351,310,4
"F. Đorđević",30,72,72,2,"Attacker",3e+06,15000,3,338,306,323,357,327,3
"R. Insigne",24,72,75,NA,"Attacker",3900000,5000,3,340,346,397,265,241,2
"J. Reine-Adélaïde",20,72,84,3,"Attacker",5500000,15000,3,308,321,376,340,295,3
"Josué da Feira",26,72,72,2,"Attacker",3400000,10000,3,345,329,343,337,257,3
"M. Olunga",24,72,76,2,"Attacker",4100000,9000,3,308,268,324,368,269,3
"A. Adomah",30,72,72,1,"Attacker",2900000,15000,3,319,324,370,342,326,3
"I. Kiese Thelin",26,72,73,NA,"Attacker",3700000,40000,3,337,279,285,343,309,3
"Y. Ouattara",34,72,72,NA,"Attacker",0,0,3,328,360,399,321,283,5
"L. Janson",23,72,75,1,"Attacker",3900000,10000,4,315,311,389,331,306,3
"J. Boga",21,72,82,3,"Attacker",5e+06,20000,3,318,354,383,344,288,3
"M. Ducksch",24,72,76,3,"Attacker",4100000,20000,3,342,316,333,351,260,3
"D. Fagundez",23,72,76,0,"Attacker",4100000,6000,4,315,348,389,323,282,3
"Bueno",30,72,72,NA,"Attacker",2900000,7000,3,347,354,341,311,289,3
"C. Bernardi",28,72,72,2,"Attacker",3100000,10000,3,302,345,377,314,291,3
"R. Kruse",29,72,72,0,"Attacker",3e+06,15000,3,328,323,381,321,311,2
"D. Kądzior",26,72,72,2,"Attacker",3300000,1000,3,306,370,379,335,278,2
"D. Lainez",18,72,85,5,"Attacker",5500000,8000,3,299,326,421,291,286,3
"J. Otero",23,72,78,2,"Attacker",4300000,10000,3,328,339,391,387,272,3
"Álvaro Tejero",21,72,81,NA,"Attacker",4100000,5000,3,293,343,404,355,317,4
"M. Heller",32,72,72,1,"Attacker",2400000,15000,3,330,307,419,321,256,2
"A. Taggart",25,72,75,3,"Attacker",4e+06,8000,3,325,306,369,333,302,3
"C. Falletti",25,72,75,NA,"Attacker",3900000,4000,4,308,357,395,341,258,3
"Allano",23,72,78,1,"Attacker",4300000,15000,3,300,330,361,304,287,3
"C. Riaño",29,72,72,1,"Attacker",3100000,15000,3,343,293,370,342,264,2
"E. Alioski",26,72,72,2,"Attacker",3300000,30000,3,329,331,388,377,344,2
"C. Robinson",23,72,78,0,"Attacker",4300000,10000,3,324,304,384,304,276,3
"K. Narey  B",23,72,75,3,"Attacker",3900000,10000,3,311,305,387,366,290,5
"Frédéric Mendy",29,72,72,1,"Attacker",3100000,7000,3,329,273,320,369,312,3
"A. Leya Iseka",20,72,79,3,"Attacker",4500000,15000,3,344,303,378,378,275,3
"R. Sallai",21,72,79,3,"Attacker",4400000,15000,3,325,307,346,306,297,3
"B. Wood",25,72,75,NA,"Attacker",4e+06,20000,3,342,333,375,370,273,3
"N. Kebano",26,72,72,1,"Attacker",3300000,40000,3,326,351,388,311,288,3
"M. Rodríguez",23,72,75,4,"Attacker",3900000,15000,3,312,284,417,343,280,4
"P. Faragò",25,72,73,3,"Attacker",3700000,20000,3,295,317,315,323,315,3
"Alex Alegría",25,72,75,NA,"Attacker",4e+06,9000,3,336,288,271,356,263,3
"P. Bamford",24,72,75,3,"Attacker",4e+06,30000,3,326,331,345,340,316,3
"Á. Zaldívar",24,72,76,NA,"Attacker",4100000,30000,3,330,310,358,353,291,3
"J. Plata",26,72,72,3,"Attacker",3300000,8000,3,325,344,431,329,293,2
"J. Jones",23,72,78,0,"Attacker",4300000,6000,3,289,338,407,260,255,3
"N. Radonjić",22,72,79,4,"Attacker",4400000,30000,3,332,322,382,301,261,4
"M. Sau",30,72,72,1,"Attacker",3e+06,30000,4,333,357,438,329,285,4
"J. Schieber",29,72,72,2,"Attacker",3100000,20000,3,343,298,293,365,292,2
"Amilton",28,72,72,NA,"Attacker",3100000,15000,4,300,297,416,328,311,3
"S. Andersson",26,72,72,1,"Attacker",3400000,20000,2,309,244,316,342,288,2
"M. Diouf B",30,72,72,1,"Attacker",3e+06,30000,3,338,267,375,386,364,3
"S. Juklerød",24,72,77,1,"Attacker",3500000,8000,3,303,314,376,378,309,3
"M. Grüttner",32,72,72,1,"Attacker",2500000,10000,2,320,245,334,388,289,4
"R. Bobadilla",31,72,72,2,"Attacker",2800000,10000,3,345,344,337,364,312,3
"A. Cerci",30,72,72,2,"Attacker",2900000,15000,4,340,373,362,320,314,3
"M. Trotta",25,72,73,3,"Attacker",3800000,15000,3,335,297,325,344,310,3
"J. Murphy",28,72,72,2,"Attacker",3100000,40000,3,322,335,381,355,311,4
"Rui Fonte",28,72,72,NA,"Attacker",3200000,20000,3,349,344,341,333,317,3
"S. Gürler",26,72,72,NA,"Attacker",3300000,20000,3,314,335,388,308,262,4
"Xavier",25,72,72,1,"Attacker",3400000,5000,3,306,349,383,327,258,3
"R. Kishna",23,72,75,NA,"Attacker",3900000,8000,5,325,360,344,260,241,3
"K. Rezaei",26,72,73,3,"Attacker",3700000,15000,3,349,313,324,354,292,4
"Y. Gouffran",32,72,72,0,"Attacker",2400000,20000,3,358,331,376,357,316,3
"L. Haraslín",22,72,80,2,"Attacker",4600000,7000,4,314,333,400,335,262,3
"N. Jelavić",32,72,72,1,"Attacker",2500000,15000,3,358,348,241,359,336,4
"T. Ben Haim",28,72,72,2,"Attacker",3100000,1000,3,295,332,398,326,280,4
"Hervías",25,72,73,NA,"Attacker",3700000,15000,4,292,341,385,318,265,3
"Í. Ávila",27,72,72,0,"Attacker",3300000,10000,3,302,323,393,314,274,3
"D. Kownacki",21,72,82,NA,"Attacker",5e+06,15000,3,322,283,364,346,309,3
"R. Alvarado",19,72,79,2,"Attacker",4200000,9000,3,318,339,371,315,299,5
"Sebá",26,72,72,3,"Attacker",3300000,30000,3,328,336,387,372,334,3
"I. Hajrović",26,72,72,2,"Attacker",3300000,1000,4,331,374,369,343,307,4
"A. Wooten",28,72,72,3,"Attacker",3200000,8000,3,337,302,345,353,301,3
"K. Sema",24,72,74,4,"Attacker",3800000,30000,3,298,350,373,345,284,3
"U. Đurđević",24,72,77,3,"Attacker",4200000,8000,3,316,296,358,340,302,2
"S. Di Carmine",29,72,72,NA,"Attacker",3100000,5000,3,302,303,343,364,278,3
"A. Ragusa",28,72,72,NA,"Attacker",3100000,5000,4,333,323,394,340,283,3
"Cristian Herrera",27,72,72,2,"Attacker",3300000,9000,3,340,336,303,363,300,2
"Gelson Dala",21,72,80,NA,"Attacker",4600000,7000,4,326,308,417,344,264,4
"Y. Mollo",28,72,72,0,"Attacker",3100000,7000,3,326,362,379,363,299,4
"Cao Yunding",28,72,72,3,"Attacker",3100000,10000,3,284,334,392,341,304,4
"G. Zardes",26,72,72,2,"Attacker",3400000,8000,3,303,264,363,381,302,4
"J. Botaka  B",25,71,72,1,"Attacker",2800000,9000,5,310,327,385,356,309,3
"A. Trondsen",23,71,76,2,"Attacker",3100000,5000,3,307,343,378,353,336,3
"M. Pektemek",29,71,71,0,"Attacker",2400000,30000,3,345,337,356,362,337,3
"A. Isak",18,71,84,NA,"Attacker",4300000,4000,3,332,279,362,316,277,3
"B. Manuel",21,71,78,NA,"Attacker",3300000,7000,4,294,350,399,325,268,4
"A. Preciado",23,71,74,2,"Attacker",3e+06,10000,3,350,342,379,351,276,3
"A. Kamara",23,71,75,NA,"Attacker",3100000,10000,3,301,260,374,353,292,3
"J. Kayamba",26,71,71,3,"Attacker",2500000,1000,4,306,319,413,317,273,4
"G. Holtmann B",23,71,76,1,"Attacker",3200000,15000,3,291,293,388,327,276,3
"J. Paintsil",20,71,80,3,"Attacker",3700000,9000,3,277,306,420,315,257,3
"A. Nahuelpan",30,71,71,0,"Attacker",2300000,15000,3,326,298,265,365,322,3
"L. Albertengo",27,71,71,NA,"Attacker",2500000,10000,3,346,297,341,347,300,3
"M. Pavone",36,71,71,0,"Attacker",850000,10000,2,331,293,297,391,301,3
"Go Yo Han",30,71,71,2,"Attacker",2200000,6000,3,309,314,399,364,320,3
"Leandro Pereira",26,71,71,4,"Attacker",2600000,10000,3,313,268,297,366,278,2
"J. Paterson",26,71,71,2,"Attacker",2500000,30000,3,318,338,392,316,261,4
"T. Barkhuizen",24,71,72,3,"Attacker",2800000,9000,3,291,288,405,362,267,3
"S. Kerk",24,71,74,1,"Attacker",3e+06,15000,3,327,365,329,330,280,3
"N. Bendtner",30,71,71,0,"Attacker",2300000,6000,3,345,316,298,344,319,3
"Carlinhos",23,71,76,2,"Attacker",3200000,6000,4,315,318,376,321,254,4
"F. González",31,71,71,1,"Attacker",2100000,10000,3,323,304,351,378,308,3
"S. Tecl",27,71,71,2,"Attacker",2500000,1000,3,333,287,364,313,295,2
"A. Gogia",26,71,71,2,"Attacker",2500000,20000,4,309,345,391,345,263,4
"K. Tsimikas B",22,71,78,4,"Attacker",2800000,1000,3,280,342,392,347,324,3
"Á. Sagal",25,71,74,1,"Attacker",3e+06,20000,3,329,283,352,358,314,3
"I. Sacko",20,71,78,3,"Attacker",3400000,15000,3,330,302,376,325,292,3
"Rodolfo",25,71,73,4,"Attacker",2900000,9000,3,284,341,383,313,281,2
"J. Hayes",30,71,71,1,"Attacker",2200000,30000,3,284,328,412,359,278,4
"B. Tekpetey",20,71,79,2,"Attacker",3500000,7000,3,297,296,406,319,245,5
"G. Kvilitaia",24,71,75,3,"Attacker",3100000,15000,3,311,292,344,349,289,4
"R. Carrera",26,71,71,1,"Attacker",2500000,9000,3,301,310,367,371,298,4
"M. Kramer",29,71,71,0,"Attacker",2400000,15000,2,332,250,300,342,264,3
"B. Osborn",23,71,74,1,"Attacker",3e+06,30000,3,319,340,400,320,279,3
"E. Kachunga",26,71,71,1,"Attacker",2500000,30000,3,342,309,370,365,294,2
"U. Bulut",35,71,71,1,"Attacker",1100000,9000,3,327,278,269,352,306,3
"F. Andrijašević",27,71,71,NA,"Attacker",2500000,9000,3,338,337,302,360,330,3
"P. Škuletić",28,71,71,1,"Attacker",2400000,20000,2,304,236,278,352,284,3
"J. Rhodes",28,71,71,NA,"Attacker",2400000,20000,2,330,243,330,358,295,2
"Nuno Santos",23,71,76,3,"Attacker",3200000,7000,4,322,361,377,314,311,3
"Somália  B",29,71,71,1,"Attacker",2300000,20000,3,316,322,371,351,343,4
"Y. El Ghanassy",27,71,71,NA,"Attacker",2500000,15000,4,303,357,380,303,275,4
"J. Mosquera",28,71,71,1,"Attacker",2400000,3000,3,313,325,357,369,280,3
"I. Tajouri-Shradi",24,71,74,4,"Attacker",3e+06,6000,3,309,341,400,330,244,4
"B. Johnsen",26,71,72,NA,"Attacker",2800000,6000,2,312,271,333,349,301,2
"André Pereira",23,71,76,2,"Attacker",3200000,9000,3,310,269,309,330,268,3
"M. Coda",29,71,71,1,"Attacker",2400000,5000,3,309,315,316,301,265,4
"Cyriac",27,71,71,1,"Attacker",2500000,10000,3,336,300,404,362,269,4
"J. Harper",22,71,78,0,"Attacker",3400000,7000,3,323,299,349,349,283,3
"T. Pledl",24,71,74,0,"Attacker",3e+06,15000,3,307,357,396,295,302,4
"Moon Seon Min",26,71,71,4,"Attacker",2500000,9000,3,311,312,429,328,273,4
"R. Yaremchuk",22,71,76,2,"Attacker",3200000,15000,3,346,288,341,363,309,3
"Y. Kashiwa",30,71,71,2,"Attacker",2200000,9000,4,309,303,412,347,238,4
"N. Ghilas",28,71,71,1,"Attacker",2400000,20000,3,336,310,324,319,326,4
"B. McKay",23,71,76,2,"Attacker",3200000,15000,3,281,333,417,280,270,4
"A. Rojas",32,71,71,1,"Attacker",1800000,15000,3,345,343,338,361,347,3
"Joselu",27,71,71,3,"Attacker",2500000,9000,3,335,307,378,375,335,3
"J. Perbet",33,71,71,2,"Attacker",1500000,10000,2,330,246,298,328,279,3
"J. Bela",25,71,72,1,"Attacker",2800000,6000,4,318,307,415,346,258,3
"Y. Bárcenas",24,71,74,1,"Attacker",3e+06,7000,4,284,345,387,331,233,3
"Júnior Dutra",30,71,71,2,"Attacker",2300000,4000,3,331,308,353,358,255,4
"B. Afobe",25,71,73,3,"Attacker",2900000,30000,3,320,308,360,346,293,2
"G. Verón",28,71,71,2,"Attacker",2400000,15000,3,328,312,400,309,294,3
"C. Jerome",31,71,71,1,"Attacker",2100000,15000,3,310,289,337,385,305,2
"U. Đerić",26,71,72,3,"Attacker",2800000,6000,3,274,273,290,384,281,3
"F. Costa B",23,71,77,0,"Attacker",3200000,9000,3,298,318,345,266,305,2
"F. Ayé",21,71,79,2,"Attacker",3500000,5000,3,308,252,358,353,253,3
"Jota",19,71,85,3,"Attacker",5e+06,4000,4,320,351,414,319,268,3
"Y. Toyokawa",23,71,75,1,"Attacker",3100000,9000,3,321,298,412,332,241,3
"C. Ikonomidis",23,71,77,2,"Attacker",3200000,5000,3,330,330,366,321,296,4
"D. Cools",22,71,77,2,"Attacker",3200000,10000,3,293,283,340,372,313,4
"B. Guillaume",23,71,77,NA,"Attacker",3300000,10000,3,328,263,304,326,252,4
"G. Sandoval",22,71,80,3,"Attacker",3600000,20000,3,306,332,397,317,290,4
"F. Fragapane",25,71,72,0,"Attacker",2800000,10000,3,305,340,413,324,271,3
"T. Kleindienst",22,71,76,3,"Attacker",3200000,15000,3,324,264,314,380,270,3
"D. McNeil",18,71,83,4,"Attacker",3900000,15000,3,321,345,375,338,298,3
"J. Quiñones",21,71,81,2,"Attacker",3900000,30000,3,305,299,395,320,265,3
"E. Başsan",26,71,71,3,"Attacker",2500000,10000,3,324,357,378,330,271,2
"Paulolettinho",34,71,71,2,"Attacker",1200000,15000,3,313,339,372,316,258,3
"J. Duque",31,71,71,4,"Attacker",2100000,4000,3,302,272,332,372,294,2
