"","Name","Age","Overall rating","Potential","Team & Contract","ID","Height","Weight","foot","Best overall","Best position","Growth","Joined","Loan date end","Value","Wage","Release clause","Total attacking","Crossing","Finishing","Heading accuracy","Short passing","Volleys","Total skill","Dribbling","Curve","FK Accuracy","Long passing","Ball control","Total movement","Acceleration","Sprint speed","Agility","Reactions","Balance","Total power","Shot power","Jumping","Stamina","Strength","Long shots","Total mentality","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Total defending","Marking","Standing tackle","Sliding tackle","Total goalkeeping","GK Diving","GK Handling","GK Kicking","GK Positioning","GK Reflexes","Total stats","Base stats","Weak foot","Skill moves","Attacking work rate","Defensive work rate","International reputation","Body type","Pace / Diving","Shooting / Handling","Passing / Kicking","Dribbling / Reflexes","Defending / Pace","Physical / Positioning"
"","JoaquínCB CDM",22,71,82,"Real Valladolid
2018 ~ 2023",232132,"190cm / 6'3""","75kg / 165lbs","Right",70,"CB",11,"Aug 31, 2018","N/A","€3.6M","€10K","€8.6M",269,46,43,72,69,39,290,60,48,49,66,67,290,69,71,55,58,37,318,59,61,73,80,45,301,69,71,50,64,47,64,205,67,72,66,62,9,12,13,14,14,1735,383,3,2,"Medium","Medium",1,"Unique",70,47,61,60,70,75
"","João AmaralCAM RM",26,71,71,"Lech Poznań
2018 ~ 2022",234949,"172cm / 5'8""","67kg / 148lbs","Left",73,"LW",0,"Jul 20, 2018","N/A","€2.5M","€8K","€3.4M",307,70,67,52,62,56,329,74,68,65,48,74,410,85,88,82,75,80,314,71,49,81,47,66,271,43,24,68,68,68,63,111,43,30,38,47,14,9,6,6,12,1789,383,3,3,"High","Medium",1,"Lean (170-185)",87,67,63,75,36,55
"","B. ÖzcanCAM CM LM",20,71,78,"Hamburger SV
2019 ~ 2023",235717,"180cm / 5'11""","79kg / 174lbs","Right",70,"CAM",7,"Jan 24, 2019","N/A","€3.4M","€8K","€6M",293,67,56,43,74,53,323,76,55,52,65,75,356,69,65,77,70,75,286,54,56,66,67,43,271,54,29,62,75,51,65,111,31,34,46,60,11,12,11,13,13,1700,362,4,3,"Medium","Medium",1,"Normal (170-185)",67,53,69,75,34,64
"","J. VigónCM",26,71,71,"Atlas
2012 ~ 2022",210374,"174cm / 5'9""","71kg / 157lbs","Right",70,"CDM",0,"Jul 1, 2012","N/A","€2.5M","€15K","€4.2M",306,63,55,71,71,46,310,66,57,47,70,70,351,71,70,63,72,75,358,68,69,84,70,67,341,86,69,60,70,56,70,193,57,70,66,56,14,8,14,10,10,1915,408,3,3,"Medium","Medium",1,"Normal (170-185)",70,60,67,68,66,77
"","R. LópezRB",25,71,73,"Pachuca
2016 ~ 2023",213446,"185cm / 6'1""","74kg / 163lbs","Right",71,"RM",2,"Jun 14, 2016","N/A","€2.4M","€15K","€4.2M",331,79,54,66,72,60,361,72,75,76,70,68,336,75,78,68,62,53,357,74,59,80,70,74,315,51,64,68,64,68,61,196,59,66,71,47,10,12,9,6,10,1943,414,3,3,"High","Medium",1,"Lean (185+)",77,64,72,69,64,68
"","A. CalabresiCB RB",22,71,79,"Bologna
2018 ~ 2022",229574,"186cm / 6'1""","75kg / 165lbs","Right",70,"CB",8,"Jul 2, 2018","N/A","€3M","€15K","€5.7M",224,53,22,65,53,31,209,48,31,34,42,54,308,54,69,55,67,63,286,45,68,66,78,29,262,65,72,37,44,44,64,224,74,76,74,51,6,8,12,12,13,1564,337,3,2,"High","Medium",1,"Lean (185+)",62,30,48,52,73,72
"","J. Léa SilikiCM CDM",22,71,79,"Rennes
2017 ~ 2023",236998,"183cm / 6'0""","70kg / 154lbs","Left",70,"CAM",8,"Jul 1, 2017","N/A","€3.4M","€15K","€7.2M",339,64,64,64,75,72,346,73,72,58,69,74,339,76,68,71,68,56,337,74,50,72,67,74,323,65,66,63,65,64,64,204,71,68,65,57,10,12,12,11,12,1945,416,2,3,"High","Low",1,"Lean (170-185)",72,68,69,72,68,67
"","Ö. ŞişmanoğluST CAM RW",28,71,71,"Yeni Malatyaspor
2018 ~ 2021",184518,"186cm / 6'1""","83kg / 183lbs","Right",70,"ST",0,"Jul 9, 2018","N/A","€2.4M","€10K","€4.9M",329,53,72,75,67,62,277,65,53,44,49,66,346,72,77,66,73,58,347,65,81,67,72,62,295,53,41,75,63,63,69,126,47,32,47,54,12,7,14,9,12,1774,378,3,3,"Medium","Low",1,"Normal (185+)",75,68,59,65,44,67
"","J. De SartCDM CM",23,71,76,"Kortrijk
2018 ~ 2020",217287,"186cm / 6'1""","73kg / 161lbs","Right",70,"CDM",5,"Aug 31, 2018","N/A","€2.7M","€8K","€4.2M",332,66,53,72,72,69,342,65,69,67,73,68,320,57,60,64,68,71,348,75,58,80,64,71,316,74,71,45,71,55,73,203,68,68,67,54,12,14,12,8,8,1915,396,3,3,"Medium","Medium",1,"Lean (185+)",59,62,70,66,69,70
"","J. CádizST",22,71,78,"Vitória FC
2018 ~ 2020",229319,"191cm / 6'3""","78kg / 172lbs","Right",70,"ST",7,"Jul 25, 2018","N/A","€3.4M","€5K","€7.8M",295,28,72,73,58,64,240,67,34,26,44,69,302,61,67,53,71,50,332,75,54,68,79,56,287,72,24,75,46,70,72,80,25,31,24,41,9,10,7,9,6,1577,349,2,3,"High","Medium",1,"Lean (185+)",64,69,45,66,31,74
"","H. WahlCB",24,71,74,"Holstein Kiel
2018 ~ 2023",230855,"189cm / 6'2""","85kg / 187lbs","Right",70,"CB",3,"Jul 11, 2018","N/A","€2.5M","€7K","€4.2M",202,24,36,71,50,21,181,40,22,20,43,56,298,54,63,56,67,58,295,44,80,68,79,24,236,60,73,29,37,37,64,212,72,73,67,54,15,14,5,13,7,1478,325,3,2,"High","Medium",1,"Normal (185+)",59,34,38,49,72,73
"","D. GuzmanCDM CM",28,71,71,"Columbus Crew
2019 ~ 2020",236999,"178cm / 5'10""","79kg / 174lbs","Right",70,"CDM",0,"May 6, 2019","N/A","€1.9M","€6K","€2.9M",305,70,53,61,70,51,337,69,70,53,77,68,317,60,57,67,69,64,343,71,63,77,68,64,342,83,65,65,68,61,69,205,69,71,65,50,10,7,12,13,8,1899,397,3,3,"Medium","High",1,"Normal (170-185)",58,60,70,68,68,73
"","C. AvevorCB",26,71,72,"St. Pauli
2016 ~ 2023",198856,"185cm / 6'1""","88kg / 194lbs","Right",70,"CB",1,"Jul 1, 2016","N/A","€2.3M","€10K","€3.9M",250,55,32,68,62,33,230,48,29,35,59,59,318,62,73,57,68,58,322,58,81,55,87,41,256,72,63,35,55,31,63,206,68,72,66,45,7,12,10,10,6,1627,361,2,2,"Medium","Medium",1,"Stocky (185+)",68,39,56,54,68,76
"","David CostasCB",23,71,76,"Celta de Vigo
2013 ~ 2022",219848,"184cm / 6'0""","72kg / 159lbs","Right",70,"CB",5,"Jul 1, 2013","N/A","€2.7M","€10K","€5.8M",275,57,42,75,70,31,279,55,30,59,65,70,327,68,67,66,60,66,295,46,74,66,65,44,290,69,76,45,50,50,66,210,69,72,69,55,10,15,10,14,6,1731,370,3,2,"Medium","Medium",1,"Lean (170-185)",67,43,60,61,72,67
"","BotíaCB",29,71,71,"Al Hilal
2018 ~ 2020",191688,"189cm / 6'2""","96kg / 212lbs","Right",70,"CB",0,"Jul 1, 2018","N/A","€1.8M","€20K","€3.1M",256,44,50,72,60,30,243,44,49,32,65,53,285,53,61,55,65,51,335,65,75,70,79,46,280,84,70,53,44,29,58,208,70,69,69,57,12,13,16,8,8,1664,356,2,2,"Medium","High",1,"Normal (185+)",57,50,52,49,70,78
"","S. RomagnoliCB",28,71,71,"Brescia
Jun 30, 2019 On loan",198857,"193cm / 6'4""","85kg / 187lbs","Right",70,"CB",0,"Jul 2, 2018","Jun 30, 2019","€1.9M","€4K","€0",231,33,39,75,54,30,220,52,38,27,51,52,264,56,55,56,64,33,311,43,70,68,86,44,244,65,70,32,37,40,68,214,66,76,72,55,13,8,6,13,15,1539,339,2,2,"Low","Medium",1,"Lean (185+)",55,40,44,52,71,77
"","CamachoLW RW",24,71,74,"Nacional
2014 ~ 2022",213705,"171cm / 5'7""","75kg / 165lbs","Right",71,"RW",3,"Jan 1, 2014","N/A","€3M","€8K","€6.5M",293,67,64,43,65,54,347,75,74,66,59,73,391,79,78,82,72,80,310,76,41,74,51,68,272,45,26,70,64,67,76,91,27,35,29,69,16,12,13,13,15,1773,371,3,4,"High","Medium",1,"Normal (170-185)",78,67,65,75,31,55
"","NauzetGK",33,71,71,"Las Palmas
2018 ~ 2019",164041,"190cm / 6'3""","87kg / 192lbs","Right",70,"GK",0,"Jul 2, 2018","N/A","€1.2M","€6K","€1.9M",86,14,17,15,21,19,88,16,17,13,20,22,213,46,35,30,69,33,197,12,53,35,80,17,90,19,18,17,15,21,51,37,10,13,14,342,69,77,61,67,68,1053,382,2,1,"Medium","Medium",1,"Normal (185+)",69,77,61,68,40,67
"","L. JutkiewiczST",29,71,71,"Birmingham City
2017 ~ 2022",176841,"185cm / 6'1""","77kg / 170lbs","Left",70,"ST",0,"Jan 3, 2017","N/A","€2.4M","€20K","€4.5M",330,58,70,80,59,63,289,63,53,52,51,70,312,56,64,55,71,66,376,74,87,70,85,60,324,72,33,72,71,76,67,116,58,32,26,53,12,9,6,10,16,1800,376,4,3,"Medium","Medium",1,"Stocky (185+)",60,69,59,65,44,79
"","M. HectorCB",25,71,74,"Sheffield Wednesday
2015 ~ 2020",200138,"193cm / 6'4""","82kg / 181lbs","Right",70,"CB",3,"Sep 1, 2015","N/A","€2.5M","€15K","€4.9M",241,35,40,73,62,31,239,60,32,30,58,59,288,57,70,54,63,44,324,68,67,66,79,44,299,79,68,49,52,51,61,209,67,75,67,61,13,12,11,12,13,1661,365,3,2,"Medium","Medium",1,"Lean (185+)",64,47,51,58,70,75
"","F. ErpenCB",35,71,71,"San Martín San Juan
2018 ~ 2022",142794,"180cm / 5'11""","78kg / 172lbs","Right",70,"CB",0,"Aug 10, 2018","N/A","€550K","€7K","€798K",284,53,48,74,62,47,254,46,39,49,57,63,242,50,34,43,65,50,353,70,76,67,80,60,263,74,68,23,51,47,67,207,68,70,69,67,16,12,12,15,12,1670,345,3,2,"Medium","High",1,"Normal (170-185)",41,53,55,52,69,75
"","J. DompéLW RW",22,71,76,"Gent
2018 ~ 2020",224970,"170cm / 5'7""","65kg / 143lbs","Right",71,"RW",5,"Jul 1, 2018","N/A","€3.2M","€15K","€5M",317,76,59,41,68,73,375,76,81,76,71,71,389,81,76,85,66,81,353,80,78,66,51,78,284,57,39,68,63,57,73,107,31,39,37,50,11,7,9,11,12,1875,385,2,3,"Medium","Low",1,"Lean (170-)",78,68,70,75,37,57
"","D. BarbonaLM RM CM CAM",23,71,76,"Atlético Tucumán
2016 ~ 2020",227274,"184cm / 6'0""","81kg / 179lbs","Right",70,"RM",5,"Aug 30, 2016","N/A","€3.2M","€8K","€5M",305,69,64,45,67,60,330,74,60,62,65,69,382,79,85,76,65,77,330,67,69,70,66,58,261,44,26,67,65,59,54,123,45,40,38,50,8,6,13,12,11,1781,385,4,3,"High","Medium",1,"Normal (170-185)",82,63,66,72,39,63
"","D. LemosCDM CM",29,71,71,"Patronato
2016 ~ 2020",227530,"178cm / 5'10""","82kg / 181lbs","Right",73,"CB",0,"Jan 7, 2016","N/A","€1.8M","€10K","€2.7M",260,56,37,72,64,31,301,60,60,53,66,62,327,62,68,66,74,57,321,46,77,87,75,36,314,84,73,50,56,51,67,216,70,72,74,59,8,16,12,15,8,1798,379,3,2,"Low","High",1,"Normal (170-185)",65,40,60,62,72,80
"","Z. KuzmanovićCM CDM",30,71,71,"Basel
2015 ~ 2020",168650,"186cm / 6'1""","80kg / 176lbs","Right",71,"CDM",0,"Jul 1, 2015","N/A","€2.2M","€15K","€3.3M",317,63,58,67,71,58,344,64,65,68,76,71,252,37,34,52,70,59,361,78,68,62,78,75,344,68,72,60,75,69,65,210,72,69,69,49,7,13,9,7,13,1877,379,3,3,"Medium","Medium",2,"Normal (185+)",35,66,71,65,70,72
"","C. SongkrasinCF LW CAM",24,71,74,"Consadole Sapporo
2019 ~ 2020",234698,"158cm / 5'2""","56kg / 123lbs","Right",73,"RM",3,"Jan 18, 2019","N/A","€3.1M","€4K","€4M",307,66,66,47,68,60,331,77,61,59,62,72,411,88,83,91,66,83,289,61,35,79,47,67,266,36,32,69,69,60,68,68,31,19,18,52,12,11,13,10,6,1724,373,3,5,"High","High",1,"Normal (170-)",85,65,66,77,28,52
"","B. JeannotST",26,71,72,"Dijon
2017 ~ 2021",193226,"183cm / 6'0""","78kg / 172lbs","Right",70,"ST",1,"Jul 12, 2017","N/A","€2.8M","€10K","€5.9M",323,50,73,66,64,70,292,64,50,49,58,71,337,66,63,71,73,64,328,72,68,53,65,70,283,53,31,73,56,70,68,69,31,19,19,46,9,10,6,14,7,1678,350,3,3,"Medium","Low",1,"Normal (170-185)",64,72,57,67,30,60
"","RildoLM ST RM",29,71,71,"Daegu
2019 ~ 2021",202443,"181cm / 5'11""","68kg / 150lbs","Right",71,"LM",0,"Jul 6, 2019","N/A","€2.3M","€5K","€2.9M",294,57,65,57,60,55,322,77,61,58,52,74,386,87,90,76,69,64,326,68,58,71,68,61,274,42,39,67,63,63,66,101,40,33,28,51,9,9,14,11,8,1754,388,3,3,"High","Medium",1,"Lean (170-185)",89,64,59,75,38,63
"","A. DiomandeST LM",28,71,71,"Los Angeles FC
2018 ~ 2020",188107,"180cm / 5'11""","81kg / 179lbs","Right",70,"ST",0,"May 1, 2018","N/A","€2.4M","€7K","€3.7M",307,45,71,68,59,64,267,65,56,35,43,68,362,76,75,77,67,67,375,72,83,71,86,63,291,68,33,68,56,66,62,63,27,20,16,56,12,7,10,13,14,1721,371,3,3,"Medium","Medium",1,"Normal (170-185)",75,69,52,67,29,79
"","A. Al HabsiGK",36,71,71,"Al Hilal
2017 ~ 2020",148684,"193cm / 6'4""","93kg / 205lbs","Right",70,"GK",0,"Jul 17, 2017","N/A","€325K","€10K","€553K",135,16,18,16,67,18,80,14,13,11,25,17,283,41,55,60,74,53,213,22,74,41,64,12,132,40,22,13,44,13,61,52,30,11,11,350,71,58,71,73,77,1245,399,2,1,"Medium","Medium",2,"Normal (185+)",71,58,71,77,49,73
"","Rafa MirST LM",21,71,82,"Las Palmas
Jun 30, 2019 On loan",231628,"191cm / 6'3""","87kg / 192lbs","Right",70,"ST",11,"Jan 3, 2018","Jun 30, 2019","€4.1M","€7K","€0",337,64,72,74,62,65,287,65,59,41,52,70,334,69,75,63,65,62,353,72,75,67,73,66,290,49,39,69,59,74,64,118,42,41,35,54,12,11,15,10,6,1773,378,2,3,"High","Low",1,"Normal (185+)",72,70,59,66,44,67
"","Kim Seung JoonST LM RM",23,71,73,"Gyeongnam
2019 ~ 2020",227789,"180cm / 5'11""","70kg / 154lbs","Right",72,"RW",2,"Jan 5, 2019","N/A","€3M","€6K","€3.9M",332,67,66,64,69,66,275,70,48,27,59,71,400,85,82,84,72,77,339,69,56,81,67,66,305,57,45,74,71,58,60,76,45,14,17,48,9,14,10,6,9,1775,389,4,4,"High","Medium",1,"Normal (170-185)",83,67,64,72,35,68
"","P. BurnerRB LB",22,71,78,"Nice
2016 ~ 2020",235981,"170cm / 5'7""","65kg / 143lbs","Right",70,"RB",7,"Jul 1, 2016","N/A","€2.8M","€15K","€5.9M",313,71,57,62,72,51,314,74,60,44,66,70,365,78,77,72,63,75,312,62,65,65,62,58,298,58,66,64,60,50,64,211,67,72,72,59,14,11,14,6,14,1872,404,3,3,"High","Medium",1,"Lean (170-)",77,58,67,72,68,62
"","KaduCB",31,71,71,"Göztepe
2017 ~ 2019",183245,"189cm / 6'2""","80kg / 176lbs","Right",70,"CB",0,"Aug 11, 2017","N/A","€1.6M","€15K","€3.2M",201,28,19,72,59,23,174,26,27,37,35,49,297,54,54,66,65,58,286,47,76,58,78,27,243,71,74,31,25,42,65,215,71,72,72,46,8,9,14,6,9,1462,306,2,2,"Medium","Medium",1,"Normal (185+)",54,28,40,40,72,72
"FIFA 19 Sep 11, 2019Set play specialistTakes finesse free kicks+ Injury prone","H. KiyotakeRM LM CF",28,71,71,"Cerezo Osaka
2017 ~ 2022",210126,"172cm / 5'8""","66kg / 146lbs","Right",70,"CAM",0,"Feb 1, 2017","N/A","€2.4M","€7K","€3M",332,70,64,58,73,67,357,68,70,79,67,73,368,70,70,78,71,79,334,68,71,73,62,60,277,28,31,71,72,75,73,116,48,35,33,54,15,10,12,7,10,1838,375,3,3,"Medium","Medium",2,"Lean (170-185)",70,65,71,71,40,58
"","T. ClarkeCB RB",30,71,71,"Preston North End
2013 ~ 2020",173518,"180cm / 5'11""","77kg / 170lbs","Right",70,"CB",0,"May 22, 2013","N/A","€1.8M","€10K","€3.3M",206,40,21,68,42,35,157,26,25,21,41,44,296,50,56,60,63,67,319,55,91,66,80,27,231,82,70,29,34,16,57,213,74,71,68,51,14,8,7,12,10,1473,308,3,2,"Medium","High",1,"Normal (170-185)",53,30,38,39,71,77
"","F. BoeckxGK",31,71,71,"Anderlecht
2015 ~ 2020",139727,"181cm / 5'11""","80kg / 176lbs","Right",70,"GK",0,"Aug 31, 2015","N/A","€1.4M","€10K","€2.2M",92,15,15,13,37,12,118,15,13,19,37,34,222,32,36,44,63,47,200,34,56,24,73,13,148,26,26,14,56,26,66,50,23,10,17,359,69,71,78,70,71,1189,393,3,1,"Medium","Medium",1,"Stocky (170-185)",69,71,78,71,34,70
"","TiagoCB",28,71,72,"Lanús
Dec 31, 2019 On loan",224975,"191cm / 6'3""","89kg / 196lbs","Right",70,"CB",1,"Dec 7, 2017","Dec 31, 2019","€2.2M","€10K","€0",213,28,26,75,49,35,182,38,32,28,44,40,268,56,55,45,70,42,288,44,70,62,88,24,252,76,68,32,35,41,66,212,72,72,68,49,14,8,6,14,7,1464,315,2,2,"Medium","Medium",1,"Normal (185+)",55,31,39,41,71,78
"","M. PetrželaRM LM",35,71,71,"Viktoria Plzeň
2013 ~ 2020",181199,"172cm / 5'8""","65kg / 143lbs","Right",70,"RM",0,"Jul 1, 2013","N/A","€1M","€500","€2.3M",308,68,62,46,67,65,323,75,59,54,65,70,387,84,79,79,65,80,326,71,73,72,44,66,281,58,27,68,63,65,70,94,36,30,28,52,9,7,13,15,8,1771,373,3,3,"Medium","Low",1,"Lean (170-185)",81,65,65,74,33,55
"","AdryanLM CAM",23,71,74,"Sion
2017 ~ 2020",205008,"175cm / 5'9""","70kg / 154lbs","Right",71,"CAM",3,"Jul 10, 2017","N/A","€3M","€15K","€4.6M",297,62,62,44,69,60,363,76,73,71,68,75,378,78,76,82,66,76,313,62,61,67,60,63,287,39,38,66,73,71,68,106,50,32,24,25,5,5,5,5,5,1769,382,4,4,"Medium","Low",1,"Normal (170-185)",77,63,69,76,39,58
"","Y. KonéLB",22,71,78,"Lille
2015 ~ 2022",222160,"174cm / 5'9""","71kg / 157lbs","Left",70,"LWB",7,"Jan 27, 2015","N/A","€2.8M","€15K","€5.9M",251,68,30,55,70,28,288,70,57,42,50,69,378,82,80,73,67,76,265,36,61,68,66,34,274,67,67,53,41,46,63,210,69,70,71,61,14,14,10,14,9,1727,378,3,3,"Medium","Medium",1,"Normal (170-185)",81,34,59,70,68,66
"","C. QuinteroRM LM CDM",29,71,71,"Atlético Bucaramanga
2018 ~ 2019",201681,"189cm / 6'2""","74kg / 163lbs","Right",70,"RM",0,"Jul 3, 2018","N/A","€2.3M","€2K","€3.1M",311,74,65,46,72,54,289,71,46,38,63,71,334,75,74,69,63,53,343,65,64,69,75,70,314,76,68,61,69,40,63,185,55,66,64,62,10,16,14,7,15,1838,409,3,3,"Medium","Medium",1,"Normal (185+)",74,64,67,70,61,73
"","G. LovrencsicsRB RM",29,71,71,"Hungary
Free",210129,"177cm / 5'10""","79kg / 174lbs","Right",71,"RW",0,"Jul 5, 2016","N/A","€0","€0","€0",321,71,63,64,65,58,313,70,67,46,59,71,400,90,82,78,75,75,387,80,85,76,74,72,328,61,74,59,64,70,67,183,63,62,58,54,7,11,13,15,8,1986,427,4,3,"High","Medium",1,"Normal (170-185)",86,68,64,72,65,72
"","Rui SilvaGK",24,71,77,"Granada
2017 ~ 2021",210385,"191cm / 6'3""","91kg / 201lbs","Right",70,"GK",6,"Jan 27, 2017","N/A","€2.4M","€5K","€4.3M",92,13,20,14,25,20,107,18,19,20,26,24,189,31,30,34,70,24,177,19,51,27,66,14,146,19,27,20,50,30,49,54,25,10,19,345,73,65,63,69,75,1110,375,3,1,"Medium","Medium",1,"Stocky (185+)",73,65,63,75,30,69
"","H. VeermanST",27,71,71,"St. Pauli
2018 ~ 2021",227537,"201cm / 6'7""","90kg / 198lbs","Right",70,"ST",0,"Aug 9, 2018","N/A","€2.5M","€15K","€4M",291,29,71,74,61,56,218,57,29,34,37,61,274,74,67,32,70,31,362,76,71,64,92,59,279,69,29,74,44,63,69,69,30,18,21,58,16,15,8,8,11,1551,348,3,2,"Medium","Low",1,"Normal (185+)",70,69,45,55,30,79
"","P. EbertCM CAM RM",31,71,71,"Dynamo Dresden
2018 ~ 2020",177105,"176cm / 5'9""","78kg / 172lbs","Right",70,"CAM",0,"Jul 1, 2018","N/A","€2M","€15K","€3.1M",337,80,67,58,75,57,369,69,77,76,77,70,351,63,64,77,70,77,348,80,64,66,68,70,330,68,67,67,69,59,58,167,62,56,49,52,14,6,9,15,8,1954,406,4,3,"Medium","Medium",1,"Stocky (170-185)",64,69,75,71,60,67
"","D. MarshallGK",33,71,71,"Hull City
2016 ~ 2019",140498,"190cm / 6'3""","83kg / 183lbs","Right",70,"GK",0,"Aug 30, 2016","N/A","€1.2M","€15K","€2.3M",80,11,19,14,21,15,97,14,19,14,29,21,242,48,50,33,70,41,194,22,63,34,63,12,131,41,24,13,42,11,67,40,13,14,13,348,70,69,66,72,71,1132,397,3,1,"Medium","Medium",1,"Normal (185+)",70,69,66,71,49,72
"","R. LoaizaCM CDM",24,71,76,"Atlético Nacional
2017 ~ 2020",214226,"180cm / 5'11""","70kg / 154lbs","Right",70,"CDM",5,"Jul 24, 2017","N/A","€3.1M","€4K","€4.6M",264,59,35,62,75,33,274,65,33,33,73,70,313,63,60,61,64,65,344,50,78,86,70,60,310,71,70,64,69,36,66,192,65,68,59,60,13,14,10,11,12,1757,378,3,3,"Medium","Medium",1,"Normal (170-185)",61,44,66,66,66,75
"","A. KingCM",29,71,71,"Derby County
Jun 30, 2019 On loan",186578,"184cm / 6'0""","79kg / 174lbs","Right",70,"CM",0,"Jul 1, 2006","Jun 30, 2019","€2.3M","€30K","€0",339,59,68,73,72,67,328,69,64,59,67,69,319,63,58,67,71,60,360,72,75,71,73,69,333,63,69,72,69,60,69,205,68,70,67,37,8,6,7,10,6,1921,404,3,3,"Medium","Medium",1,"Normal (170-185)",60,69,67,68,69,71
"","N. ĐurđićST CAM",32,71,71,"Hammarby
2018 ~ 2021",198611,"184cm / 6'0""","77kg / 170lbs","Right",70,"ST",0,"Mar 15, 2018","N/A","€1.9M","€6K","€2.4M",326,59,69,68,62,68,309,66,65,53,60,65,354,69,70,73,77,65,352,66,72,75,73,66,349,80,58,79,65,67,66,140,49,48,43,55,11,16,9,13,6,1885,393,4,3,"Medium","High",1,"Normal (170-185)",70,68,61,67,52,75
"","L. PernicaCB RB",28,71,72,"Viktoria Plzeň
2018 ~ 2021",202451,"188cm / 6'2""","86kg / 190lbs","Right",70,"CB",1,"Jan 11, 2018","N/A","€2.2M","€1K","€4.9M",235,38,25,67,65,40,237,47,37,41,57,55,332,68,66,67,72,59,318,54,75,70,74,45,297,71,71,49,56,50,63,212,70,72,70,56,8,16,8,14,10,1687,355,3,2,"High","Medium",1,"Lean (185+)",67,38,54,53,71,72
"","J. CabotRM RW",24,71,74,"Lorient
2016 ~ 2020",212947,"164cm / 5'5""","64kg / 141lbs","Right",72,"RW",3,"Jan 30, 2016","N/A","€3M","€6K","€5.5M",289,64,69,38,64,54,309,79,55,50,52,73,419,92,91,83,64,89,305,63,63,66,50,63,241,31,37,68,52,53,61,75,27,20,28,62,14,12,8,14,14,1700,371,3,3,"High","Medium",1,"Normal (170-)",91,65,59,77,28,51
"","P. MweneRB RM RWB",24,71,75,"FSV Mainz 05
2018 ~ 2021",216275,"172cm / 5'8""","68kg / 150lbs","Right",71,"RWB",4,"Jul 1, 2018","N/A","€2.6M","€15K","€4.8M",251,70,44,37,66,34,288,69,53,46,53,67,402,85,78,84,64,91,304,50,72,91,52,39,271,59,65,57,48,42,64,203,65,64,74,48,12,9,11,9,7,1767,383,4,3,"High","Medium",1,"Normal (170-185)",81,44,60,71,63,64
"","J. FuentesCB CDM",23,71,80,"O'Higgins
2013 ~ 2020",219091,"175cm / 5'9""","72kg / 159lbs","Right",70,"CB",9,"Jul 28, 2013","N/A","€3.2M","€5K","€4.9M",281,54,48,60,70,49,287,59,46,50,69,63,353,73,75,66,67,72,363,63,80,84,77,59,294,80,69,47,53,45,67,204,72,67,65,53,12,11,9,12,9,1835,398,3,2,"Medium","Medium",1,"Stocky (170-185)",74,53,61,62,68,80
"","J. LasoCB",27,71,72,"Vélez Sarsfield
2018 ~ 2019",226772,"187cm / 6'2""","75kg / 165lbs","Right",70,"CB",1,"Jan 3, 2018","N/A","€2.2M","€10K","€3.5M",219,40,27,67,57,28,201,43,33,23,47,55,292,60,64,50,64,54,299,46,72,71,84,26,244,86,69,24,30,35,54,212,65,70,77,56,10,13,14,12,7,1523,336,3,2,"Medium","High",1,"Lean (185+)",62,31,44,49,69,81
"","P. CucchiST",25,71,74,"Atlético Nacional
2019 ~ 2022",251348,"180cm / 5'11""","78kg / 172lbs","Right",70,"ST",3,"Jul 8, 2019","N/A","€3M","€5K","€4.5M",322,58,74,69,66,55,298,68,60,44,55,71,375,80,79,78,65,73,341,69,66,78,69,59,296,62,25,70,66,73,64,101,35,40,26,51,7,14,11,8,11,1784,386,4,2,"High","Medium",1,"Normal (170-185)",79,69,61,70,37,70
NA,"J. RodríguezCM",25,71,74,"Once Caldas
2018 ~ 2023",214485,"180cm / 5'11""","70kg / 154lbs","Left",72,"CAM",3,"Jul 3, 2018","N/A","€2.9M","€3K","€4.2M",292,63,65,42,77,45,318,70,50,52,75,71,353,76,68,77,67,65,340,60,67,79,72,62,300,51,37,68,77,67,69,137,45,44,48,64,14,14,9,13,14,1804,389,3,3,"Medium","Medium",1,"Lean (170-185)",72,63,71,71,43,69
NA,"G. LajudGK",24,71,76,"Tijuana
2014 ~ 2023",217813,"180cm / 5'11""","80kg / 176lbs","Right",70,"GK",5,"Jun 5, 2014","N/A","€2.3M","€9K","€4.1M",80,12,14,13,28,13,96,16,15,19,25,21,256,47,44,33,68,64,194,20,58,37,64,15,131,26,18,18,46,23,59,51,21,14,16,348,71,66,63,74,74,1156,393,1,1,"Medium","Medium",1,"Normal (170-185)",71,66,63,74,45,74
NA,"UkraRW LW",30,71,71,"Santa Clara
2018 ~ 2021",169941,"176cm / 5'9""","74kg / 163lbs","Right",71,"RM",0,"Aug 8, 2018","N/A","€2.2M","€5K","€4.7M",333,71,64,61,69,68,364,75,77,72,68,72,371,75,76,77,70,73,345,75,77,66,61,66,301,65,30,70,64,72,65,68,21,22,25,56,16,8,6,16,10,1838,379,4,3,"Medium","Medium",1,"Normal (170-185)",76,68,69,74,28,64
NA,"A. GomaaST CF CAM",30,71,71,"Ohod
2014 ~ 2021",237013,"178cm / 5'10""","74kg / 163lbs","Right",70,"ST",0,"Jul 21, 2014","N/A","€2.3M","€15K","€3.8M",317,30,74,72,71,70,297,66,68,59,40,64,326,64,68,63,59,72,336,72,60,56,75,73,279,50,16,76,64,73,69,59,34,12,13,57,15,7,10,12,13,1671,351,4,3,"High","Low",1,"Normal (170-185)",66,73,56,65,26,65
