"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Heading.accuracy","Long.passing","Ball.control","Total.movement","Jumping","Stamina","Strength","Total.mentality","Total.defending"
"João Aurélio",29,73,73,1,"Defender",3e+06,6000,3,62,74,75,338,68,81,72,340,217
"J. Lucumi",20,73,84,3,"Defender",6e+06,9000,2,68,65,64,325,67,70,75,253,219
"S. Alakouch",19,73,83,2,"Defender",5500000,7000,3,53,66,69,375,52,74,54,292,218
"Etxeita",30,73,73,NA,"Defender",3e+06,15000,2,76,54,64,281,79,69,80,243,211
"J. Basanta",34,73,73,1,"Defender",1200000,30000,2,75,61,60,252,72,53,76,285,212
"G. Cunningham",27,73,73,2,"Defender",3300000,30000,3,70,67,69,363,73,79,72,310,216
"C. Berra",33,73,73,2,"Defender",1600000,8000,2,79,60,52,208,78,67,88,263,214
"L. Moore",25,73,76,4,"Defender",4200000,20000,2,71,64,67,337,81,76,81,264,216
"André Geraldes",27,73,73,NA,"Defender",3300000,9000,2,60,54,68,364,80,77,71,310,217
"Juli Piresinho",30,73,73,2,"Defender",2900000,10000,3,71,46,68,327,70,68,80,300,225
"N. Spolli",35,73,73,NA,"Defender",950000,3000,2,76,45,47,202,68,33,91,228,220
"Vinicius Cardenha",26,73,73,2,"Defender",3400000,20000,2,67,52,62,348,67,79,66,297,213
"Gabriel Silva B",27,73,73,4,"Defender",3300000,20000,3,53,72,72,374,71,75,62,325,213
"O. Sorg",28,73,73,0,"Defender",3200000,20000,2,58,62,72,370,63,74,64,309,225
"M. Danielson",29,73,73,3,"Defender",3100000,6000,2,76,65,58,267,33,51,83,284,227
"Rafa Soares",23,73,80,3,"Defender",4700000,8000,3,59,65,71,368,64,75,64,307,213
"Pau Torres",21,73,81,NA,"Defender",5e+06,6000,2,76,67,69,307,73,80,65,267,219
"M. Yanga-Mbiwa",29,73,73,1,"Defender",3100000,40000,2,74,64,61,327,73,67,75,275,215
"I. Balliu",26,73,74,0,"Defender",3800000,7000,3,60,68,74,380,77,81,62,340,212
"L. Abecasis",28,73,73,0,"Defender",3200000,10000,3,58,59,68,394,63,79,65,333,205
"D. Arslanagic",25,73,77,1,"Defender",4300000,10000,2,71,66,65,275,57,69,84,263,220
"G. Bussmann",27,73,73,0,"Defender",3300000,20000,2,76,59,66,333,75,69,75,289,226
"S. Sunzu",29,73,73,1,"Defender",3100000,7000,2,72,64,62,300,81,74,89,261,217
"F. Hübner",27,73,75,1,"Defender",3900000,20000,2,74,51,54,278,50,59,79,274,225
"M. Hedges",28,73,73,1,"Defender",3200000,8000,2,74,70,63,277,69,81,89,269,206
"E. Schelotto",29,73,73,NA,"Defender",3e+06,15000,3,64,65,73,348,70,80,69,345,214
"Insua",24,73,77,NA,"Defender",4400000,15000,2,72,62,65,290,73,53,75,266,222
"O. Kúdela",31,73,73,1,"Defender",2700000,1000,2,68,69,61,364,71,83,74,333,220
"S. Medina",26,73,74,4,"Defender",3800000,30000,3,72,64,70,357,80,79,78,333,218
"L. Baal",32,73,73,0,"Defender",2200000,20000,2,67,65,69,340,67,79,73,307,214
"Guitián",27,73,74,2,"Defender",3800000,9000,2,72,66,65,326,85,70,77,287,212
"M. Olivera",20,73,82,4,"Defender",5500000,10000,3,70,57,69,346,64,78,73,304,217
"M. Nervo",27,73,74,0,"Defender",3800000,15000,2,77,64,66,311,75,84,80,273,211
"P. Karlsson",32,73,73,1,"Defender",2300000,8000,2,66,52,49,339,85,69,80,258,226
"Ailton Valpaços",26,73,73,2,"Defender",3500000,20000,2,72,67,66,326,76,75,79,300,222
"T. Fosu-Mensah",20,73,81,NA,"Defender",5e+06,30000,3,69,63,67,370,76,70,78,320,216
"T. Xhaka",27,73,74,2,"Defender",3800000,20000,3,46,67,71,362,72,92,75,344,217
"K. Pedersen",23,73,78,3,"Defender",4500000,20000,2,73,47,66,309,68,79,81,286,216
"Douglas Armeira",26,73,73,2,"Defender",3400000,15000,3,59,52,67,359,71,83,67,323,223
"M. Demiral",20,73,83,NA,"Defender",5500000,20000,2,68,61,53,301,68,69,78,251,224
"M. Kamiński",26,73,75,NA,"Defender",4e+06,20000,2,70,75,66,325,78,65,76,290,218
"B. Dejaegere",27,73,73,3,"Defender",4100000,15000,4,54,65,74,398,80,90,67,348,201
"R. Fanni",36,73,73,0,"Defender",550000,5000,2,68,66,71,326,71,56,77,311,217
"J. Moreira",28,73,73,NA,"Defender",3200000,8000,3,65,72,74,388,66,80,57,300,205
"G. Toledo",28,73,73,2,"Defender",3200000,10000,3,52,63,69,385,77,86,66,304,201
"C. Montes",21,73,81,1,"Defender",5e+06,20000,2,76,70,64,321,78,76,79,312,217
"J. Gandolfi",37,73,73,1,"Defender",275000,10000,2,73,69,60,283,83,65,81,299,215
"J. Toljan",23,73,77,NA,"Defender",4300000,30000,3,49,63,72,388,84,74,66,273,209
"J. Gélin",21,73,83,3,"Defender",5500000,15000,2,68,67,68,320,71,69,73,276,218
"Raul García",29,73,73,0,"Defender",3e+06,20000,2,61,68,69,363,77,90,70,337,209
"S. Gentiletti",33,73,73,0,"Defender",1600000,8000,2,71,65,65,318,77,48,78,270,217
"K. Long",27,73,74,2,"Defender",3800000,40000,2,76,55,58,287,79,66,77,276,217
"Samir",23,73,77,3,"Defender",4400000,15000,2,68,58,62,286,60,69,76,273,223
"F. Barba",24,73,78,3,"Defender",4500000,10000,2,73,56,59,324,66,68,75,239,223
"M. van der Hoorn",25,73,76,1,"Defender",4200000,20000,2,80,62,54,207,83,57,85,251,223
"W. Zimmerman",25,73,76,3,"Defender",4200000,7000,2,78,66,63,274,78,76,84,295,204
"Vasco Fernandes",31,73,73,1,"Defender",2700000,6000,2,71,58,67,333,89,78,73,281,216
"C. Doukouré",25,73,76,2,"Defender",4200000,15000,3,69,65,71,363,78,82,80,337,219
"F. Lértora",27,73,73,2,"Defender",3400000,10000,2,80,59,73,310,83,77,73,335,232
"A. Rispoli",29,73,73,2,"Defender",3e+06,5000,3,69,68,73,364,80,87,82,324,204
"Miguel Vieira",27,73,74,2,"Defender",3800000,8000,2,68,42,64,274,74,65,79,253,215
"F. Meza",26,73,75,1,"Defender",4e+06,40000,2,74,67,65,314,75,65,73,269,218
"Pedro PorroB",18,73,86,4,"Defender",6500000,9000,3,61,62,78,366,62,78,50,316,211
"M. Knoll",27,73,73,3,"Defender",3400000,15000,2,73,65,67,360,87,79,78,331,220
"Bruno Gaspar",25,73,75,4,"Defender",4e+06,10000,3,60,65,73,395,78,78,64,307,212
"S. Salcedo",20,73,82,3,"Defender",5500000,10000,2,73,48,53,331,85,71,81,246,224
"V. Le Goff",28,73,73,3,"Defender",3200000,8000,3,42,72,71,363,62,82,62,311,222
"B. Martins Indi",26,73,76,3,"Defender",4200000,30000,2,72,68,61,285,57,65,86,273,217
"F. Sørensen",26,73,76,2,"Defender",4200000,15000,2,74,65,62,274,66,69,84,283,213
"Bruno Alves",36,73,73,1,"Defender",550000,20000,3,74,71,63,274,88,64,88,330,216
"C. Chimino",30,73,73,0,"Defender",2900000,15000,3,58,53,66,362,66,84,67,305,213
"B. Dibassy",28,73,73,2,"Defender",3200000,15000,2,67,64,70,354,72,83,76,287,218
"D. Simpson",31,73,73,0,"Defender",2600000,40000,3,70,59,68,340,77,64,68,334,238
"Benjamin Meseira",34,73,73,2,"Defender",1100000,15000,3,52,54,71,368,64,85,71,292,212
"M. Ostrzolek B",28,73,73,1,"Defender",3200000,20000,3,60,69,76,377,67,78,65,320,214
"E. Pieters B",29,73,73,NA,"Defender",3e+06,15000,3,74,62,71,328,72,79,83,347,221
"Luisinho",33,73,73,2,"Defender",1500000,15000,3,68,68,74,361,38,55,57,340,218
"I. Lichnovsky",24,73,79,4,"Defender",4700000,15000,2,72,62,65,334,81,64,77,273,225
"F. Vicari",23,73,80,3,"Defender",4800000,10000,2,69,57,56,237,72,54,80,236,228
"R. Vlaar",33,73,73,1,"Defender",1600000,10000,2,71,67,60,203,50,46,92,309,221
"H. Magnússon",25,73,78,3,"Defender",4500000,1000,2,68,75,57,309,70,70,76,249,219
"M. Britos",32,73,73,0,"Defender",2300000,40000,2,73,64,58,240,76,41,79,262,218
"G. Peruzzi",26,73,74,3,"Defender",3800000,15000,3,57,66,69,375,78,78,66,303,212
"I. Mbaye",23,73,77,4,"Defender",4300000,20000,3,66,64,69,350,53,77,66,303,220
"A. Mina",27,73,74,4,"Defender",3800000,10000,2,77,57,61,251,76,56,92,267,210
"A. Bamba  B",28,73,73,2,"Defender",3200000,20000,2,62,65,69,370,75,81,72,292,210
"D. Amartey",23,73,76,3,"Defender",4200000,40000,3,70,68,70,333,80,78,82,311,226
"Zainadine",30,73,73,1,"Defender",3e+06,9000,2,70,56,61,345,93,75,75,278,219
"M. Poundjé",25,73,74,2,"Defender",3900000,30000,3,64,61,72,378,79,77,65,314,209
"M. Mitrović",24,73,78,3,"Defender",4500000,15000,2,76,68,64,265,53,71,82,294,219
"A. Traoré",28,73,73,0,"Defender",3200000,20000,3,57,67,64,408,83,86,70,321,201
"N. Uysal",27,73,74,2,"Defender",3800000,30000,3,76,74,74,340,80,75,76,318,216
"G. Donati B",28,73,73,0,"Defender",3200000,20000,2,70,70,70,350,68,77,75,316,221
"F. Maouassa",19,73,80,NA,"Defender",4600000,7000,3,52,53,73,393,63,73,68,305,213
"N. Tomović",30,73,73,2,"Defender",3e+06,15000,2,68,66,68,325,74,69,77,299,216
"C. Goldson",25,73,78,3,"Defender",4500000,30000,2,73,69,66,311,76,72,83,260,215
"L. Mabiala",30,73,73,0,"Defender",3e+06,7000,2,78,54,56,231,70,86,86,294,212
"M. Wöber",20,73,81,NA,"Defender",5e+06,9000,2,74,67,65,342,76,74,78,297,219
"F. Lucioni",30,73,73,2,"Defender",3e+06,4000,2,73,50,58,297,91,64,75,284,216
"T. Cardona",22,73,80,3,"Defender",4800000,10000,2,77,56,61,293,84,80,83,286,210
"Frederico Venâncio",25,73,77,3,"Defender",4300000,8000,2,75,56,63,312,85,49,77,254,216
"A. Zambo Anguissa",22,73,79,4,"Defender",4700000,30000,3,73,65,68,337,75,81,82,353,202
"Nuno Pinto",31,73,73,1,"Defender",2600000,6000,3,56,65,73,378,69,63,60,326,216
"A. Behich",27,73,73,3,"Defender",3300000,10000,3,54,71,72,391,73,78,54,306,213
"F. Campos",24,73,78,2,"Defender",4500000,6000,2,69,66,64,371,77,90,81,281,211
"F. Cacciatore",31,73,73,NA,"Defender",2600000,20000,2,68,65,61,361,77,77,78,293,222
"T. Letschert",25,73,75,NA,"Defender",4100000,15000,2,71,68,65,337,84,63,81,307,212
"K. Nababkin",31,73,73,1,"Defender",2600000,1000,2,65,71,63,350,72,78,72,313,225
"P. Ankersen",27,73,73,1,"Defender",3300000,15000,3,54,65,71,386,68,90,64,310,205
"Y. Banana",26,73,75,NA,"Defender",0,0,2,80,49,55,252,68,77,90,256,222
"N. Skubic",29,73,73,3,"Defender",3e+06,15000,3,64,64,72,348,71,79,70,350,214
"João Talocha",28,73,73,1,"Defender",3200000,8000,2,57,57,69,344,58,79,69,286,210
"F. Navarro",29,73,73,1,"Defender",3e+06,20000,3,48,63,68,404,89,80,56,315,216
"F. Tobio",28,73,74,4,"Defender",3600000,20000,2,72,65,50,273,82,72,83,255,215
"R. Sigurðsson",32,73,73,NA,"Defender",0,0,2,74,62,52,305,60,78,81,303,216
"M. Wagué",27,73,75,NA,"Defender",3900000,30000,2,72,51,51,269,68,67,90,245,220
"L. Benito",26,73,74,0,"Defender",3800000,15000,3,60,65,69,367,77,85,74,323,206
"A. Souquet",26,73,74,3,"Defender",3800000,15000,3,68,71,72,357,69,75,70,319,215
"R. Salinas",30,73,73,2,"Defender",2900000,20000,3,61,66,72,341,65,82,70,348,215
"R. Halliche",31,73,73,1,"Defender",2700000,6000,2,73,55,56,279,76,62,78,278,220
"R. Bengtsson",32,73,73,2,"Defender",2300000,7000,2,64,62,58,269,83,52,80,292,217
"Hélder Lopes",29,73,73,3,"Defender",3e+06,1000,3,59,60,70,351,55,79,68,304,215
"V. Wormgoor",29,73,73,0,"Defender",3100000,5000,2,72,68,67,218,72,71,88,305,213
"O. Kucher",35,73,73,0,"Defender",950000,9000,2,72,69,60,291,60,64,73,302,219
"A. Correa",33,73,73,1,"Defender",1600000,4000,2,73,66,58,346,71,70,85,303,215
"Z. Vanheusden",18,73,87,NA,"Defender",7500000,6000,2,71,69,67,312,62,68,74,298,225
"R. Genevois",30,73,73,0,"Defender",3e+06,15000,2,73,55,60,304,82,64,78,258,219
"C. Basham",29,73,73,2,"Defender",3100000,10000,2,68,60,56,318,77,83,79,298,213
"Wallace",30,73,73,1,"Defender",3e+06,20000,2,73,68,58,254,84,45,76,299,215
"V. Torosidis",33,73,73,2,"Defender",1500000,1000,3,68,64,70,333,66,61,75,306,232
"N. Isimat-Mirin",26,73,74,3,"Defender",3900000,30000,2,75,65,53,300,75,66,82,250,218
"B. Kuscevic",22,73,81,2,"Defender",5e+06,8000,2,73,64,61,337,79,73,82,278,216
"Mauro Cildinho",34,73,73,2,"Defender",1100000,15000,3,47,66,73,383,74,78,46,294,213
"R. Bennett",28,73,73,2,"Defender",3200000,50000,2,73,64,47,205,73,63,77,233,225
"D. Dainelli",39,73,73,4,"Defender",275000,3000,2,73,64,55,197,74,32,79,223,219
"M. Aguirregaray  B",29,73,73,2,"Defender",3e+06,20000,3,68,63,73,362,63,73,74,344,210
"Ivanildo Fernandes",22,73,82,NA,"Defender",5500000,5000,2,71,50,56,260,64,74,86,255,220
"R. Delgado",28,73,73,1,"Defender",3200000,10000,3,75,70,70,358,75,80,70,346,208
"J. Insaurralde",33,73,73,0,"Defender",1600000,7000,2,75,63,58,233,74,63,82,276,216
"M. Siopis",24,73,76,NA,"Defender",0,0,2,55,67,66,367,66,86,65,318,228
"K. Naughton",29,73,73,1,"Defender",3e+06,20000,3,67,66,68,357,73,73,67,299,220
"T. Tomiyasu",19,73,84,2,"Defender",6e+06,5000,2,69,65,67,320,71,70,82,253,218
"D. Benlamri",28,73,73,1,"Defender",3200000,30000,2,74,64,58,293,78,72,91,240,211
"G. Jara",32,73,73,1,"Defender",2300000,15000,2,69,71,65,328,74,69,75,320,214
"O. Haddadi  B",26,73,74,0,"Defender",3800000,10000,3,69,57,68,334,65,75,71,292,220
"S. Ingason",24,73,78,3,"Defender",4500000,1000,2,66,57,60,311,80,68,77,300,227
"T. Heurtaux",29,73,73,2,"Defender",3100000,15000,2,71,63,61,306,78,53,76,267,224
"J. Bryan B",24,73,77,3,"Defender",4300000,30000,3,68,63,68,389,91,84,68,326,212
"L. Ceppitelli",28,73,73,2,"Defender",3200000,20000,2,75,45,55,286,80,59,85,213,226
"Ailton",23,73,78,NA,"Defender",4500000,10000,3,64,55,74,385,74,77,67,327,212
"D. Luckassen",22,73,77,NA,"Defender",4400000,15000,2,76,69,69,361,82,78,82,304,211
"F. Peluso",34,73,73,1,"Defender",1200000,30000,2,77,62,60,282,70,65,75,278,224
"T. Parker",25,73,78,2,"Defender",4500000,7000,2,72,68,64,339,83,78,85,249,209
"G. Margreitter",29,73,73,2,"Defender",3100000,20000,2,74,55,47,259,72,55,82,244,224
"F. Pisacane",32,73,73,2,"Defender",2300000,20000,2,62,50,60,346,88,60,71,266,227
"Édundo Oliveira",26,73,73,2,"Defender",3500000,20000,2,71,66,51,293,78,61,82,280,218
"R. García Guerreño",28,73,73,1,"Defender",3200000,15000,2,78,52,53,282,84,70,82,273,208
"Paolito Serra",26,73,73,2,"Defender",3500000,15000,2,74,65,72,220,43,46,87,245,217
"D. Tošić",33,73,73,1,"Defender",1600000,10000,2,72,62,55,243,72,70,81,319,215
"F. Sánchez B",28,73,73,1,"Defender",3200000,15000,3,61,59,72,405,52,85,65,314,210
"S. Prediger",31,73,73,2,"Defender",2700000,10000,3,73,65,77,335,76,82,73,345,218
"F. Chafik B",31,72,72,1,"Defender",2e+06,10000,3,51,55,65,354,59,84,74,292,224
"L. Koutris",22,72,78,2,"Defender",3600000,1000,3,56,61,70,398,66,80,64,316,202
"Laure",33,72,72,1,"Defender",1200000,8000,3,55,63,69,373,67,72,58,294,206
"Alex Bergantiños",33,72,72,1,"Defender",1300000,8000,2,61,62,65,298,78,81,75,329,217
"F. Veseli",25,72,75,2,"Defender",3300000,10000,2,73,62,67,345,75,62,70,270,217
"G. Jung",23,72,78,3,"Defender",3600000,9000,2,71,68,67,307,53,63,76,284,219
"G. Letizia",28,72,72,1,"Defender",2500000,5000,3,54,68,65,415,75,82,71,282,207
"G. Bettini",25,72,75,NA,"Defender",3200000,10000,2,66,55,71,349,54,84,64,301,204
"Molinero",32,72,72,1,"Defender",1700000,8000,2,68,61,72,364,80,73,70,314,213
"G. Friend B",30,72,72,1,"Defender",2200000,30000,3,68,60,69,324,70,82,76,298,218
"B. Cesar",35,72,72,1,"Defender",725000,9000,2,71,54,58,194,72,33,92,239,206
"V. Aguilera",29,72,72,4,"Defender",2400000,40000,2,71,57,60,244,55,76,81,304,220
"S. Hutchinson",27,72,72,1,"Defender",2600000,10000,2,72,59,56,286,82,72,86,253,209
"Lyanco",21,72,81,NA,"Defender",4200000,15000,2,69,52,61,285,68,55,77,265,216
"M. Murillo",22,72,80,1,"Defender",3900000,6000,3,62,64,69,363,89,84,75,324,211
"O. Kabak",18,72,83,5,"Defender",4300000,9000,2,71,56,66,322,72,63,76,263,216
"F. Ceccherini",26,72,75,3,"Defender",3200000,30000,2,58,45,56,298,80,63,86,176,220
"Otávinho Vila",34,72,72,2,"Defender",950000,20000,2,67,71,55,330,71,90,67,319,223
"T. Hoogland",33,72,72,1,"Defender",1300000,10000,2,72,62,64,286,80,62,75,314,213
"A. Ba",27,72,74,2,"Defender",3e+06,15000,2,79,41,53,229,75,66,80,288,203
"K. Bonifazi",22,72,80,NA,"Defender",3900000,9000,2,64,36,59,294,74,53,74,258,224
"M. Bakakis",27,72,72,4,"Defender",2600000,1000,3,60,70,69,373,64,77,59,309,217
"M. Jonjić",27,72,73,4,"Defender",2900000,7000,2,77,53,48,301,74,69,87,235,216
"A. Tarek",26,72,75,2,"Defender",3200000,6000,2,71,34,64,304,71,72,81,269,221
"David Fernández",33,72,72,1,"Defender",1300000,8000,2,72,66,61,294,69,78,73,257,224
"J. Akpa Akpro",25,72,74,2,"Defender",3700000,4000,3,65,67,71,376,70,84,60,345,205
"T. Lees",27,72,73,2,"Defender",2900000,20000,2,71,60,63,309,75,65,82,273,216
"Diego González",23,72,78,2,"Defender",3600000,7000,2,72,68,64,306,71,70,75,268,217
"M. Pongračić",20,72,83,3,"Defender",4700000,15000,2,70,63,66,301,75,68,87,262,207
"M. Andreolli",32,72,72,0,"Defender",1800000,10000,2,76,55,55,276,85,30,77,238,219
"M. Hawsawi",26,72,75,3,"Defender",3200000,20000,2,77,42,60,309,86,64,76,258,214
"Juankar B",28,72,72,2,"Defender",2500000,8000,3,57,69,75,366,68,69,63,319,203
"C. Romero",20,72,86,4,"Defender",6e+06,9000,2,72,43,52,323,76,75,77,266,207
"Vieiraldo Junior",26,72,72,2,"Defender",2700000,10000,2,60,62,70,327,85,78,78,298,224
"Diego Galo",34,72,72,0,"Defender",950000,9000,2,73,39,57,282,87,62,74,247,216
"Marlion Simões",26,72,72,2,"Defender",2600000,15000,3,56,42,66,389,80,79,67,317,213
"L. Ayling",26,72,72,2,"Defender",2600000,30000,3,64,61,66,353,76,83,75,300,216
"D. Maietta",35,72,72,1,"Defender",725000,8000,2,70,53,48,216,70,50,77,201,217
"K. Bartley",27,72,74,2,"Defender",3e+06,20000,2,73,53,60,257,54,70,90,255,214
"G. Cameron",32,72,72,NA,"Defender",1800000,8000,3,75,60,71,299,79,74,80,343,214
"P. Djilobodji",29,72,72,0,"Defender",2400000,15000,2,71,67,57,289,77,68,81,267,214
"V. Forren",30,72,72,2,"Defender",2300000,6000,2,72,70,63,248,81,65,82,310,210
"Alessinito",34,72,72,2,"Defender",950000,15000,2,73,71,61,326,77,67,81,326,218
"F. Tomori",20,72,83,2,"Defender",4700000,20000,2,63,57,63,371,73,66,75,236,214
"M. Besler",31,72,72,1,"Defender",2100000,6000,2,69,77,63,329,69,76,74,295,216
"R. Shotton  B",29,72,72,1,"Defender",2400000,30000,2,69,61,66,308,64,80,81,315,221
"J. Galván",26,72,75,4,"Defender",3200000,10000,2,78,58,55,320,86,82,79,300,201
"A. Henríquez",35,72,72,0,"Defender",725000,3000,2,76,68,43,191,32,30,91,258,215
"Víctor Díaz",30,72,72,3,"Defender",2200000,7000,3,71,56,69,341,90,87,75,316,204
"F. Romagna",21,72,85,3,"Defender",5500000,15000,2,65,65,62,325,69,54,68,258,222
"R. De Laet",29,72,72,NA,"Defender",2400000,10000,3,68,60,68,353,75,76,76,291,212
"Kiko Olivas",29,72,72,3,"Defender",2400000,15000,2,67,64,67,251,70,84,85,289,212
"A. Tuanzebe",20,72,83,NA,"Defender",4700000,10000,3,66,68,69,361,73,75,75,286,216
"A. Weber",31,72,72,0,"Defender",2100000,6000,2,77,70,60,249,65,70,83,273,204
"Kim Jin Su",26,72,73,1,"Defender",3e+06,9000,3,60,62,67,385,68,68,62,314,211
"D. Polenta",26,72,73,2,"Defender",3e+06,6000,2,67,63,63,307,75,70,90,288,212
"A. Mobara",24,72,77,0,"Defender",3500000,1000,3,72,66,69,356,75,71,51,290,222
"Pulido",27,72,73,3,"Defender",2900000,15000,2,76,43,65,248,70,76,79,269,213
"V. Găman",29,72,72,1,"Defender",2400000,20000,2,74,63,63,307,73,68,71,323,216
"K. Diks",21,72,79,NA,"Defender",3700000,8000,3,65,63,73,346,73,76,69,278,214
"Clerc B",26,72,73,0,"Defender",3e+06,8000,3,57,56,74,376,76,90,75,296,197
"Aurélio Buta",21,72,79,2,"Defender",3700000,7000,4,43,49,73,410,79,75,54,310,205
"Christian Fernández",32,72,72,1,"Defender",1800000,8000,2,72,61,60,331,74,75,76,314,208
"L. CaroleB",27,72,72,2,"Defender",2600000,15000,3,72,63,71,358,77,67,73,319,215
"Y. Meriah",24,72,75,3,"Defender",3300000,1000,2,66,68,62,335,76,62,70,292,217
"A. Soto",24,72,77,3,"Defender",3500000,10000,3,44,44,70,352,73,85,62,279,219
"Domingos Duarte",23,72,80,NA,"Defender",3900000,7000,2,74,44,55,252,49,73,78,259,214
"C. Yacob",30,72,72,1,"Defender",2300000,30000,2,73,70,70,281,71,61,69,321,219
"C. Suárez",31,72,72,4,"Defender",2100000,4000,2,70,68,62,305,84,68,69,282,219
"J. Pereira",31,72,72,1,"Defender",2100000,20000,2,79,54,53,245,73,70,82,279,216
"K. Walker-Peters",21,72,81,4,"Defender",4100000,30000,3,62,62,68,371,74,75,59,300,212
"Jorge Carvallinho",34,72,72,2,"Defender",950000,15000,2,68,60,65,274,62,72,84,295,214
"J. Collins",34,72,72,0,"Defender",950000,8000,2,77,64,51,184,60,33,84,293,216
"D. Vavro",22,72,79,3,"Defender",3700000,10000,2,73,65,63,310,70,66,87,291,209
"I. Seck",28,72,72,NA,"Defender",2500000,10000,2,78,56,65,232,33,90,88,308,204
"L. Caldirola",27,72,72,2,"Defender",2600000,5000,2,72,66,65,278,74,53,79,278,212
"O. Gonzalez",29,72,72,2,"Defender",2400000,7000,2,75,64,55,248,82,76,90,254,209
"A. Hoffmann",25,72,76,4,"Defender",3400000,20000,2,73,64,62,272,59,52,78,290,216
"Carlos Hernández",27,72,73,2,"Defender",2900000,8000,2,80,57,55,261,85,73,84,266,211
"J. Torres Nilo",30,72,72,4,"Defender",2200000,30000,3,68,61,65,350,75,82,83,324,213
"R. Métanire",28,72,72,3,"Defender",2500000,7000,3,60,61,70,361,82,88,72,316,209
"M. Bauer B",26,72,72,4,"Defender",2600000,30000,3,61,69,70,379,72,69,68,323,204
"D. Andrade",27,72,72,1,"Defender",2600000,3000,3,58,68,65,377,70,86,63,265,205
"E. Insúa B",27,72,72,1,"Defender",2600000,1000,3,67,65,67,348,76,83,70,314,212
"D. Martínez",28,72,72,NA,"Defender",2500000,10000,3,53,59,70,359,72,74,68,303,215
"G. Angella",29,72,72,NA,"Defender",2400000,10000,2,68,62,56,219,64,50,73,270,224
"F. Coloccini",36,72,72,2,"Defender",425000,10000,2,78,66,65,278,75,54,78,293,209
"L. Giannetti",24,72,79,1,"Defender",3700000,9000,2,69,48,50,305,82,67,77,243,222
"G. Lanaro",32,72,72,0,"Defender",1800000,8000,2,72,69,56,231,84,54,92,237,211
"G. Sakai",27,72,72,3,"Defender",2600000,7000,3,60,69,71,374,76,78,65,306,218
"S. Barreiro",24,72,79,0,"Defender",3700000,15000,2,76,62,50,343,78,77,76,227,227
"Bruno Uvini",27,72,73,1,"Defender",2900000,20000,2,74,53,58,217,69,60,88,274,207
"M. SuárezB",22,72,79,4,"Defender",3700000,15000,2,65,65,57,368,81,82,74,288,224
"G. Escobar",21,72,80,1,"Defender",3900000,7000,3,48,60,70,379,76,83,72,292,202
"Diego Ângelo",32,72,72,2,"Defender",1800000,10000,2,77,69,58,195,36,69,86,309,218
"M. Johansson B",26,72,73,1,"Defender",3e+06,1000,3,54,62,72,399,72,86,54,292,204
"S. Luperto",21,72,82,4,"Defender",4400000,20000,2,71,58,63,293,70,68,72,273,221
"B. Salamon",27,72,72,NA,"Defender",2600000,10000,2,70,71,66,242,82,62,76,264,215
"E. Terranova",31,72,72,2,"Defender",2100000,4000,2,69,51,48,316,84,53,84,258,216
"F. Angileri",24,72,76,NA,"Defender",3400000,15000,3,58,64,68,373,55,84,77,341,204
"D. Banguero",28,72,72,4,"Defender",2500000,4000,3,66,58,70,334,57,88,84,315,204
"A. Costa",32,72,72,2,"Defender",1800000,5000,2,68,51,62,331,85,65,73,251,218
"V. Sasso",27,72,74,0,"Defender",3e+06,6000,2,71,60,59,237,67,38,78,247,211
"R. Shawcross",30,72,72,2,"Defender",2300000,30000,2,74,66,55,251,70,76,85,264,216
"M. Chanot",28,72,72,4,"Defender",2500000,7000,2,75,53,61,237,72,69,84,247,215
"Dankler",26,72,74,1,"Defender",3100000,7000,2,70,59,57,249,74,69,91,260,204
"J. Mercier",38,72,72,0,"Defender",210000,7000,3,64,70,75,318,77,34,80,347,214
"M. Albornoz",27,72,72,1,"Defender",2600000,20000,3,59,70,74,360,66,75,67,329,211
"M. Suttner B",31,72,72,NA,"Defender",2e+06,20000,3,61,65,73,351,72,70,65,292,214
"R. Rojas",22,72,81,4,"Defender",4200000,15000,3,73,66,68,356,82,71,76,324,209
"J. Okore",25,72,75,1,"Defender",3300000,10000,2,72,64,61,327,85,76,88,295,202
"B. Caicedo",26,72,73,NA,"Defender",0,0,3,44,66,63,394,63,70,57,278,211
"Gabriel",20,72,81,2,"Defender",4200000,15000,2,74,56,63,280,68,65,78,247,210
"G. Trauner",26,72,75,4,"Defender",3200000,9000,2,67,60,64,335,82,84,86,315,207
"O. Alanís",29,72,72,1,"Defender",2400000,9000,2,75,71,65,243,76,68,70,309,217
"Nélson Monte",22,72,78,4,"Defender",3600000,6000,2,65,67,63,298,74,64,76,270,217
"R. Williams",29,72,72,2,"Defender",2400000,15000,2,69,64,62,308,75,74,82,312,208
"L. Olaza",23,72,77,NA,"Defender",3500000,15000,3,46,64,73,358,60,75,65,343,213
"G. Kashia",30,72,72,2,"Defender",2300000,6000,2,73,63,59,256,77,70,82,296,211
"M. Kosanović",28,72,73,1,"Defender",2800000,10000,2,72,77,64,256,51,66,84,299,213
"A. Mosquera",28,72,73,4,"Defender",2800000,20000,2,74,56,59,345,70,74,76,265,212
"J. Sala",26,72,72,1,"Defender",2600000,20000,3,60,66,72,355,69,73,71,336,212
"J. Torunarigha",20,72,83,1,"Defender",4700000,10000,2,76,62,58,311,64,68,78,257,218
